Id,Category
1943,1,3
1956,2,1
1963,1,3
1964,1,4
1967,1,2
1974,2,3
1977,1,2
2002,1,3
2012,1,2
2019,3,2
2021,1,2
2025,2,1
2032,1,4
2033,1,2
2035,1,2
2044,1,3
2045,1,2
2048,2,1
2057,2,1
2065,1,2
2072,1,2
2084,3,2
2089,1,2
2098,2,0
2102,2,3
2112,1,2
2115,0,2
2122,1,2
2149,1,2
2154,1,2
2166,1,2
2170,1,2
2174,1,2
2183,1,2
2185,2,1
2186,2,0
2194,1,2
2199,1,3
2207,2,1
2211,1,2
2218,1,3
2228,1,2
2245,3,2
2247,1,3
2256,1,0
2278,1,2
2299,2,1
2302,2,1
2304,2,1
2305,3,2
2313,0,1
2321,1,2
2326,1,2
2333,1,2
2346,3,1
2349,1,2
2355,2,1
2365,1,3
2379,2,1
2393,3,1
2395,1,2
2396,2,0
2397,1,2
2410,1,2
2413,1,2
2424,1,0
2430,2,1
2433,2,1
2441,1,2
2449,2,1
2468,2,1
2475,1,3
2481,1,2
2493,1,4
2494,1,2
2496,1,3
2506,1,2
2508,1,2
2509,1,2
2511,1,2
2523,2,1
2534,2,1
2552,4,2
2557,2,1
2559,0,2
2565,1,2
2567,1,2
2576,1,2
2585,3,4
2593,1,2
2596,3,2
2602,2,3
2616,1,2
2619,1,2
2629,2,1
2634,1,2
2640,1,2
2642,1,2
2651,3,2
2660,2,3
2680,1,2
2691,1,2
2701,1,2
2713,1,3
2715,1,2
2721,1,4
2730,0,2
2733,1,2
2745,1,2
2753,2,1
2770,3,2
2812,3,1
2815,1,2
2818,1,2
2819,1,2
2820,3,2
2829,1,2
2839,2,1
2846,1,2
2851,2,1
2870,2,1
2876,1,3
2884,1,2
2888,1,2
2892,1,2
2904,3,2
2913,3,2
2916,2,1
2922,1,2
2934,1,2
2938,1,2
2942,1,2
2947,1,2
2950,1,2
2953,1,2
2959,1,4
2961,3,1
2979,1,4
3005,1,2
3007,1,2
3017,1,2
3021,2,1
3024,2,3
3036,1,2
3042,0,4
3052,2,1
3060,1,2
3061,3,1
3064,2,1
3073,1,2
3096,1,2
3102,1,3
3121,1,2
3122,3,1
3131,2,1
3139,1,2
3140,3,1
3141,1,2
3151,1,2
3165,2,1
3178,1,3
3190,3,2
3192,0,1
3211,3,2
3213,3,1
3215,2,1
3217,3,2
3218,1,3
3221,1,2
3232,0,3
3240,1,2
3241,2,0
3250,1,2
3257,3,1
3271,1,2
3297,2,3
3306,1,3
3313,1,3
3319,1,3
3323,1,2
3329,3,1
3341,2,0
3344,1,2
3356,1,2
3359,1,2
3374,1,2
3375,1,2
3384,3,1
3388,2,1
3389,1,2
3390,2,0
3406,2,0
3417,1,2
3418,3,2
3424,1,2
3448,2,1
3463,1,3
3466,2,1
3470,3,2
3474,1,2
3481,2,1
3482,1,2
3485,2,1
3493,1,3
3511,3,1
3521,1,2
3532,1,2
3545,3,1
3557,1,2
3565,1,2
3567,3,1
3582,1,2
3596,1,2
3598,3,1
3616,1,3
3621,1,3
3627,1,2
3643,1,2
3644,1,3
3654,2,1
3656,2,1
3676,1,3
3687,1,2
3689,1,3
3702,3,1
3709,2,1
3721,2,3
3725,1,3
3729,2,3
3732,1,2
3738,1,2
3747,1,3
3749,3,2
3755,2,1
3760,3,2
3764,1,2
3769,1,2
3771,1,4
3774,1,2
3775,1,0
3779,1,2
3793,1,2
3794,1,2
3799,1,3
3802,1,2
3808,1,3
3814,3,2
3829,3,2
3831,1,2
3832,3,1
3833,1,2
3840,0,4
3841,1,2
3860,3,1
3861,1,2
3864,1,3
3876,0,2
3891,1,3
3893,1,2
3905,1,2
3910,2,3
3931,1,3
3935,1,2
3937,3,2
3947,3,2
3951,1,2
3954,3,2
3955,1,2
3956,1,2
3958,3,1
3969,0,1
3987,1,2
3988,1,4
3989,1,3
4002,1,3
4003,3,1
4004,3,2
4008,2,3
4014,1,2
4016,1,2
4026,1,2
4031,1,2
4035,1,2
4041,1,2
4047,1,2
4071,3,2
4076,1,2
4081,3,2
4084,1,3
4097,1,2
4098,2,1
4100,1,2
4106,3,4
4122,3,2
4124,3,1
4131,1,2
4136,4,2
4145,3,1
4148,1,2
4158,1,2
4167,4,1
4173,2,3
4197,3,1
4211,3,1
4223,0,4
4227,1,2
4229,3,2
4230,3,2
4234,1,0
4246,0,1
4249,2,1
4257,2,1
4258,2,4
4264,1,2
4268,3,1
4271,2,1
4272,2,1
4284,1,3
4285,3,2
4291,1,2
4294,1,2
4305,2,1
4341,1,2
4343,3,2
4345,1,2
4346,0,4
4350,3,2
4357,1,2
4366,3,1
4391,1,2
4404,3,2
4413,0,2
4419,1,2
4421,1,2
4425,3,2
4434,1,2
4437,2,1
4440,3,2
4441,3,1
4443,2,1
4467,1,2
4473,1,2
4478,2,1
4495,4,1
4501,2,1
4504,2,1
4527,1,0
4535,1,0
4568,2,1
4602,1,2
4604,1,2
4606,1,2
4608,1,2
4617,1,2
4619,2,1
4624,1,4
4632,0,4
4645,1,2
4673,2,1
4691,1,3
4712,1,2
4719,3,4
4739,2,1
4741,3,2
4745,2,1
4751,1,3
4763,1,2
4765,1,0
4773,3,1
4786,3,4
4789,1,3
4802,1,2
4803,1,2
4813,3,1
4824,3,1
4837,1,2
4839,3,2
4845,2,1
4851,1,2
4857,2,1
4860,1,2
4875,0,4
4879,1,2
4894,3,2
4896,1,2
4920,1,2
4934,1,0
4935,1,3
4943,2,0
4965,4,1
4970,1,2
4972,4,2
4984,3,2
4987,2,1
4991,1,3
5004,1,3
5012,2,1
5015,1,2
5021,3,2
5028,3,2
5055,1,2
5056,1,2
5057,1,2
5067,2,1
5074,1,2
5076,1,2
5079,2,1
5082,3,1
5086,0,2
5087,1,3
5090,3,2
5091,0,2
5095,2,1
5097,1,2
5108,2,3
5111,3,2
5118,1,3
5123,3,1
5144,1,3
5169,2,1
5190,1,2
5192,0,4
5197,4,1
5201,1,3
5218,1,2
5221,1,2
5224,1,0
5245,2,1
5248,1,2
5256,3,0
5257,1,2
5263,1,2
5268,1,2
5272,4,1
5274,3,2
5277,0,2
5294,1,2
5300,0,3
5321,1,2
5325,1,3
5344,1,3
5345,1,2
5346,1,2
5347,1,2
5348,2,1
5355,3,2
5359,3,1
5363,1,0
5369,1,2
5371,3,2
5378,1,2
5389,0,1
5390,3,1
5391,3,2
5397,1,2
5413,1,2
5422,1,2
5423,0,3
5430,3,2
5443,3,2
5450,2,3
5461,1,2
5465,1,2
5470,1,2
5485,1,3
5489,1,2
5490,2,1
5498,1,2
5509,3,2
5534,3,2
5540,1,0
5541,1,2
5544,0,4
5549,0,1
5567,1,2
5568,1,4
5589,1,2
5591,1,2
5597,1,3
5637,2,1
5638,1,2
5648,3,1
5660,1,2
5668,1,2
5682,0,4
5686,3,2
5697,1,2
5708,1,3
5709,1,3
5716,3,4
5717,3,1
5721,1,2
5722,1,2
5727,1,2
5742,3,1
5747,2,1
5751,1,2
5755,2,0
5774,2,1
5776,1,2
5782,1,2
5783,3,2
5785,1,2
5787,2,1
5794,3,1
5800,2,1
5802,2,3
5803,3,1
5814,1,2
5828,1,2
5830,2,1
5831,3,2
5832,1,2
5839,2,1
5876,2,1
5884,1,2
5891,2,4
5899,2,1
5906,1,3
5927,3,2
5929,3,2
5931,2,4
5962,3,2
5969,1,2
5983,0,2
5987,2,3
5990,1,2
5995,1,2
5999,4,2
6002,2,1
6009,2,1
6014,2,1
6030,1,2
6032,2,1
6033,1,2
6038,2,1
6042,2,1
6048,2,3
6053,1,2
6067,2,0
6074,1,3
6094,1,2
6109,1,3
6117,3,2
6118,1,2
6119,2,1
6132,1,2
6138,1,2
6141,1,2
6148,1,2
6177,2,1
6187,1,2
6197,2,1
6200,3,1
6201,1,3
6215,2,1
6216,1,2
6224,3,1
6229,3,2
6236,1,2
6238,3,2
6239,1,3
6255,2,1
6256,1,2
6259,1,2
6265,3,2
6269,3,2
6270,1,2
6275,2,1
6292,1,3
6298,1,2
6302,1,2
6314,1,3
6321,1,2
6327,2,3
6348,1,2
6350,3,2
6358,1,2
6369,1,2
6372,1,2
6394,1,3
6406,1,2
6409,1,2
6419,1,4
6422,1,2
6431,1,2
6447,1,3
6457,1,2
6465,2,1
6467,0,4
6468,1,4
6478,2,1
6484,2,1
6486,3,2
6492,3,2
6494,1,2
6498,1,3
6505,3,2
6514,1,2
6516,1,2
6529,1,2
6538,1,3
6545,1,2
6546,1,3
6548,2,1
6556,1,2
6562,1,2
6571,1,2
6577,1,3
6579,1,3
6585,3,2
6592,1,2
6605,2,1
6613,3,2
6616,1,2
6620,1,0
6624,1,2
6627,2,1
6639,2,0
6644,3,1
6645,1,2
6649,1,2
6654,1,2
6667,1,2
6670,3,1
6686,2,1
6700,0,4
6719,3,1
6725,2,1
6729,1,3
6749,3,2
6754,1,2
6761,1,3
6774,1,2
6779,2,1
6786,1,2
6790,3,2
6797,2,1
6799,3,1
6807,2,1
6810,1,2
6813,2,0
6828,1,2
6831,1,2
6833,2,3
6840,2,0
6843,2,1
6848,1,2
6849,3,2
6855,2,1
6864,1,2
6876,4,1
6877,1,2
6880,3,2
6887,2,1
6892,3,2
6895,1,2
6897,1,2
6903,3,1
6907,1,2
6911,2,1
6914,1,2
6924,1,3
6927,3,1
6928,3,1
6933,2,3
6949,1,2
6956,3,2
6960,1,2
6965,3,1
6968,3,1
6970,1,2
6973,1,3
6986,1,0
6992,1,2
6999,3,4
7005,1,0
7008,0,2
7016,1,2
7034,1,2
7043,3,2
7052,2,1
7054,2,1
7060,3,2
7062,2,1
7069,2,1
7083,1,2
7090,0,2
7093,3,2
7095,1,2
7101,1,0
7110,0,1
7111,1,3
7116,1,2
7125,3,2
7126,1,3
7131,2,1
7146,3,2
7151,1,3
7154,1,2
7155,1,2
7160,1,2
7173,1,2
7178,1,2
7182,1,2
7199,3,2
7208,2,1
7211,1,3
7214,1,2
7215,3,1
7225,2,1
7233,1,2
7234,2,1
7235,1,2
7239,3,1
7255,2,1
7268,1,2
7271,3,2
7273,1,2
7276,1,2
7277,3,4
7287,1,2
7292,1,2
7293,1,2
7295,1,4
7307,2,1
7320,1,2
7340,3,1
7348,3,2
7350,3,1
7382,3,2
7388,2,1
7389,0,2
7404,1,2
7413,2,1
7415,3,1
7428,1,2
7431,1,3
7441,1,2
7469,2,1
7471,3,1
7487,3,2
7493,3,2
7494,1,3
7503,2,4
7510,2,1
7525,2,1
7526,3,1
7565,2,4
7566,3,1
7572,2,1
7573,1,3
7574,2,0
7582,1,2
7589,1,2
7600,1,2
7605,3,1
7624,2,1
7628,3,1
7631,1,2
7632,1,2
7640,2,1
7641,2,1
7646,1,2
7649,1,2
7654,1,2
7655,2,3
7661,2,1
7663,2,3
7664,1,2
7681,1,2
7688,1,3
7690,1,2
7691,2,1
7710,1,4
7714,1,2
7743,2,4
7761,3,1
7770,0,2
7778,1,3
7787,1,2
7789,2,1
7795,1,2
7796,1,2
7799,1,2
7824,0,1
7828,3,1
7842,2,3
7846,1,3
7851,3,1
7860,1,3
7861,3,2
7864,1,0
7868,1,2
7871,1,3
7890,1,2
7900,1,2
7905,1,2
7916,1,2
7925,3,2
7934,3,1
7941,1,2
7943,3,1
7944,1,2
7970,1,2
7972,3,2
7987,3,2
7997,2,1
8004,1,2
8006,1,2
8030,1,2
8031,1,2
8041,1,2
8056,2,1
8057,3,1
8060,1,2
8080,1,2
8083,2,3
8090,3,2
8093,2,1
8097,3,2
8098,1,2
8099,1,2
8100,1,2
8105,2,1
8106,2,1
8109,2,0
8110,1,2
8113,1,0
8117,1,2
8120,2,1
8125,1,2
8138,2,1
8141,1,3
8150,3,2
8154,1,2
8160,2,1
8161,2,1
8164,1,2
8177,2,1
8182,0,4
8186,1,0
8187,1,2
8188,2,1
8201,1,2
8206,3,2
8210,0,1
8224,1,3
8227,1,2
8229,1,2
8238,3,1
8246,0,2
8261,1,2
8266,1,2
8274,1,3
8277,3,2
8278,1,2
8285,1,2
8288,3,2
8289,1,2
8291,2,0
8302,1,3
8311,1,2
8318,2,1
8326,1,2
8338,1,0
8344,1,3
8356,1,2
8377,3,4
8379,1,2
8382,1,3
8395,3,2
8397,3,1
8400,1,3
8402,1,2
8420,1,2
8422,1,2
8425,1,2
8441,2,1
8456,1,2
8481,2,1
8491,2,1
8495,1,2
8502,1,2
8504,2,1
8509,1,4
8513,2,3
8517,1,2
8530,1,2
8547,3,2
8563,1,0
8577,1,3
8579,1,2
8586,1,2
8601,3,4
8614,1,2
8617,3,1
8622,1,2
8625,0,1
8628,1,2
8631,1,2
8634,1,2
8660,1,2
8674,0,2
8682,1,2
8690,0,2
8693,1,0
8694,2,1
8696,2,1
8730,2,1
8731,1,2
8733,1,2
8742,2,1
8745,0,2
8750,3,2
8762,1,4
8766,2,1
8775,2,1
8777,0,2
8785,2,1
8786,3,2
8789,2,1
8791,1,2
8804,2,1
8806,0,4
8817,1,2
8820,1,2
8828,3,1
8829,2,1
8830,1,2
8832,1,2
8840,1,2
8871,2,1
8878,1,2
8881,1,2
8900,2,1
8903,1,2
8921,1,3
8938,1,2
8941,1,2
8942,2,1
8948,1,0
8979,1,2
8980,2,1
8982,1,2
8991,1,0
9005,1,2
9007,1,2
9023,2,1
9029,2,3
9041,2,4
9047,1,4
9069,1,2
9070,2,1
9084,2,1
9087,1,2
9089,1,2
9093,2,1
9100,1,2
9104,2,1
9105,1,2
9114,1,3
9121,1,2
9125,0,2
9143,2,3
9149,1,2
9155,2,0
9171,1,3
9179,1,2
9186,1,2
9189,2,1
9203,1,2
9211,1,2
9223,1,2
9232,1,2
9241,2,3
9243,1,2
9244,3,2
9246,1,2
9251,1,2
9252,1,2
9256,2,1
9262,2,1
9265,1,0
9267,1,3
9275,1,2
9276,1,3
9279,1,2
9297,2,1
9298,1,2
9303,3,2
9307,3,1
9315,1,2
9316,1,3
9326,1,2
9333,1,2
9337,1,2
9340,2,3
9341,1,2
9347,2,1
9362,2,1
9363,1,3
9378,4,2
9382,2,1
9401,3,2
9410,1,3
9422,0,3
9432,1,2
9443,1,0
9454,3,2
9457,1,2
9458,2,1
9459,3,1
9460,2,1
9466,1,3
9470,2,1
9473,1,2
9475,2,1
9478,2,1
9482,1,2
9487,1,2
9490,1,3
9492,1,2
9493,2,1
9506,2,1
9511,1,2
9514,2,1
9532,2,1
9538,3,1
9545,3,2
9557,1,2
9560,1,2
9566,1,3
9580,2,1
9585,2,1
9587,1,2
9596,1,4
9606,3,2
9622,1,2
9630,2,3
9649,2,3
9653,2,1
9656,3,2
9671,2,4
9683,2,1
9689,1,2
9695,1,2
9717,3,1
9719,2,1
9732,1,2
9766,1,3
9776,3,1
9780,2,1
9782,2,1
9785,3,2
9787,2,3
9794,1,0
9804,1,3
9816,1,2
9820,2,1
9821,1,2
9837,1,2
9839,1,2
9843,3,2
9858,3,2
9860,0,2
9881,1,2
9884,3,1
9885,1,3
9892,1,4
9894,1,2
9916,3,1
9927,3,2
9929,1,2
9933,1,2
9939,1,2
9946,1,2
9949,1,2
9963,3,1
9965,0,1
9966,2,1
9978,1,2
9984,1,2
9997,1,2
10004,3,4
10020,1,2
10029,1,2
10034,1,2
10037,2,1
10045,1,2
10050,3,1
10057,2,1
10060,1,3
10066,1,2
10068,4,2
10075,3,2
10089,3,2
10092,1,2
10117,3,1
10124,1,2
10128,2,1
10139,1,2
10143,1,2
10151,0,2
10161,1,2
10171,1,3
10173,1,2
10175,2,1
10177,3,2
10180,1,2
10183,1,2
10185,3,2
10188,1,2
10194,1,0
10196,3,2
10199,3,1
10206,1,2
10214,1,2
10215,1,2
10224,3,1
10225,4,1
10228,2,1
10237,3,2
10256,1,2
10258,1,0
10263,1,2
10273,3,2
10280,1,2
10284,3,1
10287,1,2
10295,3,2
10314,3,2
10321,1,2
10329,1,0
10338,1,2
10342,2,1
10345,0,2
10351,1,3
10357,0,2
10359,3,2
10364,1,2
10386,3,1
10387,3,2
10390,2,1
10399,1,3
10403,1,3
10405,1,2
10410,2,1
10423,1,2
10425,1,2
10451,2,1
10453,3,1
10462,1,2
10466,1,4
10469,2,1
10470,1,2
10474,1,2
10475,4,0
10482,3,1
10497,1,3
10503,2,1
10508,3,1
10516,3,1
10524,1,2
10533,1,2
10534,1,2
10539,2,3
10552,1,3
10554,2,1
10561,1,2
10563,4,2
10564,1,2
10566,1,2
10571,3,2
10583,1,2
10584,3,2
10593,1,3
10596,1,2
10597,1,2
10598,2,1
10603,1,2
10607,4,1
10615,1,2
10617,1,2
10622,1,4
10636,1,3
10647,1,2
10667,1,2
10674,3,1
10682,1,3
10685,1,2
10690,0,2
10691,1,2
10715,3,2
10718,4,2
10729,1,2
10730,2,1
10733,1,3
10744,1,2
10749,1,2
10752,3,1
10757,3,1
10766,1,2
10771,1,4
10773,1,2
10785,0,2
10794,1,2
10804,1,3
10806,1,2
10811,1,2
10827,1,2
10829,1,3
10830,1,2
10839,1,2
10846,2,1
10852,3,2
10857,1,2
10868,1,2
10875,3,1
10881,2,1
10891,0,1
10919,1,2
10942,1,2
10955,1,2
10959,1,2
10961,3,1
10986,3,1
10989,3,1
10990,3,2
10992,2,1
11003,2,1
11004,1,2
11020,3,2
11029,3,1
11046,3,2
11051,3,1
11058,3,1
11060,3,2
11066,1,2
11069,1,3
11079,1,3
11084,1,2
11085,2,1
11119,1,3
11127,2,1
11129,1,2
11131,1,2
11133,1,2
11135,1,2
11141,2,1
11144,1,2
11149,2,1
11162,2,1
11165,3,1
11166,1,2
11184,0,3
11188,2,1
11190,2,1
11214,1,2
11217,1,2
11219,1,2
11234,1,3
11236,1,2
11242,2,1
11250,1,3
11260,1,2
11264,2,1
11271,1,2
11275,0,2
11277,3,2
11282,1,2
11283,1,2
11285,1,2
11288,3,2
11290,1,2
11293,1,2
11309,2,1
11312,2,1
11313,1,2
11314,1,2
11324,2,1
11340,2,1
11345,1,0
11350,2,1
11365,1,2
11371,3,1
11386,3,1
11392,2,1
11393,1,3
11400,1,2
11408,3,2
11410,3,1
11417,3,2
11423,2,1
11424,3,2
11426,1,2
11428,3,1
11431,1,3
11432,4,3
11442,2,1
11450,2,3
11454,1,2
11459,1,2
11462,1,2
11466,1,2
11478,1,2
11501,2,1
11502,2,1
11509,3,1
11510,1,2
11512,1,2
11532,1,3
11536,3,1
11546,1,2
11554,2,1
11559,1,3
11564,3,2
11567,2,3
11569,4,0
11574,1,2
11588,3,2
11614,2,1
11619,3,1
11623,1,2
11633,1,2
11645,1,2
11650,1,2
11658,1,2
11663,2,1
11671,1,0
11681,1,0
11695,2,1
11705,1,2
11706,2,1
11714,2,1
11722,1,3
11731,2,1
11733,1,3
11735,2,1
11738,1,2
11742,2,1
11747,1,2
11753,1,2
11757,1,2
11762,3,2
11769,3,2
11794,3,1
11796,1,2
11797,2,1
11799,1,2
11809,3,1
11810,1,2
11812,3,1
11813,3,1
11825,1,2
11829,1,3
11834,1,2
11836,1,2
11838,1,3
11840,1,2
11851,1,2
11852,1,2
11858,0,2
11862,1,3
11898,2,1
11908,0,4
11914,1,2
11917,3,2
11918,3,1
11925,2,1
11933,2,1
11944,1,3
11946,0,2
11962,3,1
11975,3,2
11977,1,2
11978,1,0
11982,3,1
11987,2,1
11994,1,2
11997,2,1
12004,3,1
12017,1,2
12023,1,2
12034,1,2
12038,1,3
12041,1,3
12065,1,2
12078,2,1
12102,1,2
12104,2,1
12112,3,1
12115,1,2
12128,1,2
12133,3,2
12139,4,2
12144,1,2
12146,1,3
12147,2,1
12169,1,3
12187,1,2
12188,1,2
12208,3,1
12219,1,3
12230,1,3
12237,2,1
12244,3,1
12279,1,2
12283,1,2
12285,1,0
12287,1,2
12292,1,2
12308,3,1
12325,3,2
12327,1,2
12333,3,2
12334,1,2
12345,1,4
12346,3,2
12360,3,2
12361,1,2
12370,1,2
12388,1,2
12400,1,3
12407,3,2
12408,1,0
12410,2,1
12419,3,1
12421,3,1
12422,1,2
12423,2,3
12426,2,1
12433,0,4
12445,2,1
12456,3,2
12488,1,2
12491,3,2
12492,3,2
12507,2,1
12509,1,3
12517,1,2
12535,1,2
12536,2,1
12539,1,3
12543,3,2
12545,1,2
12547,1,2
12555,3,2
12558,1,2
12577,1,2
12584,2,1
12586,1,2
12594,1,3
12599,2,1
12616,2,1
12618,1,0
12626,1,2
12652,2,1
12655,3,2
12681,1,2
12685,1,2
12687,0,2
12705,1,2
12714,0,2
12720,2,1
12721,1,0
12726,1,2
12738,0,2
12741,1,2
12745,1,2
12761,1,2
12766,3,2
12768,1,2
12769,2,0
12773,1,2
12784,0,2
12793,2,1
12802,3,1
12805,1,2
12806,1,2
12807,1,2
12817,0,2
12821,2,1
12829,3,1
12860,1,2
12864,1,2
12866,1,2
12882,1,2
12887,1,2
12895,0,2
12902,1,3
12908,2,1
12912,2,3
12914,3,0
12923,2,1
12924,1,2
12932,1,2
12934,1,2
12936,1,2
12937,1,2
12952,1,2
12972,1,3
12973,3,2
12978,1,2
13016,1,2
13024,1,3
13027,2,1
13030,3,1
13031,3,4
13034,1,2
13035,1,3
13037,1,3
13041,1,2
13042,1,2
13043,3,2
13045,0,2
13053,2,1
13056,1,3
13059,3,1
13076,1,2
13082,2,1
13084,1,3
13088,1,2
13092,1,2
13111,3,2
13114,1,2
13122,3,1
13130,1,2
13137,2,1
13147,1,2
13148,1,2
13152,2,1
13163,1,2
13165,3,1
13172,3,0
13176,1,3
13185,1,2
13191,1,2
13201,1,2
13210,2,1
13212,1,2
13225,1,3
13234,2,1
13235,3,2
13251,0,1
13252,1,0
13254,2,1
13259,1,2
13262,1,2
13278,1,2
13281,2,1
13288,1,2
13295,3,0
13303,0,4
13308,1,2
13314,0,2
13317,2,1
13327,1,2
13332,3,1
13335,1,2
13343,0,1
13344,1,2
13346,2,3
13353,1,2
13354,1,2
13362,1,2
13364,1,2
13366,1,2
13370,1,2
13373,1,2
13377,1,3
13380,2,1
13388,1,2
13390,2,1
13406,1,2
13418,1,2
13423,2,1
13429,1,2
13431,2,1
13445,1,2
13450,1,3
13456,2,1
13471,2,1
13473,3,2
13476,4,1
13481,1,2
13483,2,1
13485,2,4
13486,3,2
13493,1,2
13495,2,1
13522,3,1
13527,3,1
13528,1,3
13568,0,2
13587,1,3
13594,1,2
13605,1,2
13611,1,3
13616,3,0
13632,1,2
13639,1,2
13643,1,2
13647,1,2
13649,0,1
13652,2,1
13653,2,1
13658,3,2
13664,1,2
13681,2,1
13685,1,2
13686,1,2
13688,1,2
13693,0,2
13694,1,2
13696,3,4
13706,0,4
13715,2,1
13721,3,2
13752,1,2
13762,1,3
13777,3,2
13778,1,2
13784,1,2
13789,0,2
13790,2,1
13792,3,1
13797,1,2
13806,2,1
13814,1,3
13820,1,3
13823,1,2
13836,0,1
13839,3,1
13840,3,2
13845,1,2
13855,1,0
13858,0,2
13864,1,2
13877,2,1
13886,2,1
13899,2,1
13915,1,2
13923,2,1
13933,1,2
13934,4,2
13946,2,1
13957,1,3
13964,1,2
13973,1,3
13976,1,3
13977,1,2
14008,1,2
14011,3,2
14024,1,2
14027,1,2
14030,2,1
14032,1,2
14033,1,2
14035,3,1
14043,1,2
14044,1,3
14048,2,1
14058,3,2
14065,1,2
14066,1,2
14070,3,2
14073,1,2
14075,1,2
14093,3,2
14103,2,1
14104,1,2
14110,0,1
14111,1,2
14122,1,3
14139,2,1
14146,1,2
14147,1,3
14151,2,3
14155,1,0
14160,3,2
14166,2,1
14170,1,2
14171,1,2
14174,1,3
14177,2,1
14184,2,3
14188,2,1
14193,1,2
14194,1,2
14195,1,3
14205,3,2
14209,1,2
14212,1,2
14228,1,2
14231,2,1
14233,2,0
14241,1,2
14243,2,1
14261,2,3
14275,3,2
14297,3,2
14308,1,2
14311,1,2
14312,3,1
14315,1,2
14316,1,4
14320,1,2
14330,2,1
14333,1,2
14337,1,3
14343,1,3
14348,3,1
14357,3,1
14366,2,1
14367,1,2
14382,2,1
14383,1,3
14398,1,2
14405,1,2
14424,1,2
14428,1,2
14435,3,1
14449,3,2
14454,3,2
14475,1,2
14480,1,2
14482,1,2
14483,3,2
14489,2,1
14493,3,2
14495,1,2
14502,3,1
14505,2,3
14528,1,0
14549,2,1
14559,3,2
14572,1,2
14579,1,2
14588,2,3
14599,3,1
14608,1,2
14615,1,2
14621,1,2
14622,1,2
14657,3,2
14664,2,3
14677,3,1
14682,1,2
14704,2,1
14720,1,3
14727,1,2
14749,1,2
14755,2,1
14773,1,2
14779,1,2
14787,1,2
14789,1,2
14794,2,1
14806,3,2
14818,2,1
14819,1,2
14829,1,3
14831,1,2
14836,3,2
14840,1,2
14871,1,2
14875,3,2
